id_evento,title_it,title_en,startDate,endDate,description_it,description_en,city,nation,subscriptionType,venue,evidenceImageUrl,presentationDescription_it,presentationDescription_en,programCover,programPDF,address,eventType,supplier,ecm,externalSubscribeLink,subscription,format
"13","International congress - Cardiac lung","International congress - Cardiac lung","1976-12-08 00:00:00.0","1976-12-10 23:59:59.0",,,"24","1","2",,,,,,,,"event","15",,,"none",
"418","Acqua, Salute & Benessere","Acqua, Salute & Benessere","2014-06-06 00:00:00.0","2014-06-06 23:59:59.0",,,"17","1","2",,,,,,,,"event",,,,"none",
"535","New strategies for reducing cardiovascular risk: from old risk factors to emerging diagnostic and therapeutic strategies","New strategies for reducing cardiovascular risk: from old risk factors to emerging diagnostic and therapeutic strategies","2017-02-09 00:00:00.0","2017-02-11 23:59:59.0",,,"37","1","2",,,,,,,,"event",,,,"none",
"674",""Incontri con la città" - Verso la GeoUmanità",""Incontri con la città" - Verso la GeoUmanità","2019-11-10 00:00:00.0","2019-11-10 00:00:00.0",,,"24","1","2",,,,,,,,"event",,,,"none",
"687","4th International Meeting of the Menarini Foundation on Nephrolithiasis Renal Stones in Practice: an advanced Course","4th International Meeting of the Menarini Foundation on Nephrolithiasis Renal Stones in Practice: an advanced Course","2019-06-20 00:00:00.0","2019-06-22 23:59:59.0",,,"62","1","2","Sala Mascagni, Hotel Leon d’Oro",,,,,,,"event",,,,"none",
"690","Cancer in pregnancy 15 years after","Cancer in pregnancy 15 years after","2019-10-10 00:00:00.0","2019-10-11 23:59:59.0",,,"34","1","2","Aula Magna Università degli Studi di Milano","/Portals/19/vgfm/events/690/generalinformations/3146f5383f0446dba8b795267f4ce3f0_Milano10-11ottobre2019-banner-app.jpg?ver=QKH1dXCy8q8SId1bs6eZlw%3d%3d","In the past, the diagnosis of cancer during pregnancy was one of the greatest tragedies in a woman&lsquo;s life. In many instances, the choice was either to sacrifice the fetus or to jeopardize the chances of administering an effective treatment to the mother. Many advances have been made in the last 15 years and this situation, albeit still difficult to manage, has now completely changed: in most instances the mother&rsquo;s cancer can be treated during the pregnancy without harming the fetus. The most common cancers in pregnancy are those with a peak incidence during the woman&lsquo;s reproductive period and include cancer of the breast and cervix, melanomas, lymphomas, and leukemias. As the trend for delaying pregnancy into the later reproductive years continues, this rare association is likely to become more common. Several medical, psychological, social, and ethical issues should be considered when treating a pregnant patient with cancer and a multidisciplinary team of trained professionals should be available within a hub and spoke model, to offer each pregnant mother with cancer, to her physician and all members of the oncology team, adequate care and support. In this 2-days congress, all the different aspects of cancer and pregnancy will be discussed by a panel of international experts that have significantly contributed to elucidating epidemiology, biology and best treatment for each oncological disease diagnosed during pregnancy. Enough time will be reserved for case discussion, exchanging opinions and thoughts in addition to the presentation of new data in the poster discussion session. Thanks to Milan University and to Fondazione Menarini, we will be hosted in one of the most beautiful venues in town: the fifteenth century Ospedale Maggiore Ca&rsquo; Granda with its cloisters and Aula Magna.&amp;nbsp; &lt;p&gt;&amp;nbsp;&lt;/p&gt; &lt;p style=&quot;text-align: center;&quot;&gt;We hope you will enjoy the Course.&amp;nbsp;&lt;/p&gt; &lt;p style=&quot;text-align: center;&quot;&gt;Fedro A. Peccatori and Giovanna Scarfone Course Directors&lt;/p&gt; &lt;p style=&quot;text-align: left;&quot;&gt;&amp;nbsp;&lt;/p&gt;","In the past, the diagnosis of cancer during pregnancy was one of the greatest tragedies in a woman&lsquo;s life. In many instances, the choice was either to sacrifice the fetus or to jeopardize the chances of administering an effective treatment to the mother. Many advances have been made in the last 15 years and this situation, albeit still difficult to manage, has now completely changed: in most instances the mother&rsquo;s cancer can be treated during the pregnancy without harming the fetus. The most common cancers in pregnancy are those with a peak incidence during the woman&lsquo;s reproductive period and include cancer of the breast and cervix, melanomas, lymphomas, and leukemias. As the trend for delaying pregnancy into the later reproductive years continues, this rare association is likely to become more common. Several medical, psychological, social, and ethical issues should be considered when treating a pregnant patient with cancer and a multidisciplinary team of trained professionals should be available within a hub and spoke model, to offer each pregnant mother with cancer, to her physician and all members of the oncology team, adequate care and support. In this 2-days congress, all the different aspects of cancer and pregnancy will be discussed by a panel of international experts that have significantly contributed to elucidating epidemiology, biology and best treatment for each oncological disease diagnosed during pregnancy. Enough time will be reserved for case discussion, exchanging opinions and thoughts in addition to the presentation of new data in the poster discussion session. Thanks to Milan University and to Fondazione Menarini, we will be hosted in one of the most beautiful venues in town: the fifteenth century Ospedale Maggiore Ca&rsquo; Granda with its cloisters and Aula Magna.&amp;nbsp; &lt;p&gt;&amp;nbsp;&lt;/p&gt; &lt;p style=&quot;text-align: center;&quot;&gt;We hope you will enjoy the Course.&amp;nbsp;&lt;/p&gt; &lt;p style=&quot;text-align: center;&quot;&gt;Fedro A. Peccatori and Giovanna Scarfone Course Directors&lt;/p&gt; &lt;p style=&quot;text-align: left;&quot;&gt;&amp;nbsp;&lt;/p&gt;","/Portals/19/vgfm/events/690/the_program/cover/a1451ce32d9e460286f7fc388b38335c_MILANO10-11Ottobre2019-programma.pdf.jpg?ver=2019-10-04-122607-097","/Portals/19/vgfm/events/690/the_program/a1451ce32d9e460286f7fc388b38335c_MILANO10-11Ottobre2019-programma.pdf?ver=2019-10-04-122606-130",,"event",,,,"healthcare","inSiteAndStreaming"
"691","2019 Esc Guidelines on the Management of Chronic Coronary Syndromes: a Critical Approach","2019 Esc Guidelines on the Management of Chronic Coronary Syndromes: a Critical Approach","2019-09-27 00:00:00.0","2019-09-28 00:00:00.0",,,"81","8","2","Niarchos Foundation Cultural Centre","/Portals/19/vgfm/events/691/generalinformations/6b99e3525310455f9a96161d0435dc3a_ATENE27-28Settembre2019-banner.jpg?ver=2019-10-16-150333-580","&lt;h1&gt;CHRONIC CORONARY SYNDROMES A CRITICAL APPROACH&lt;/h1&gt; &lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;Dear Colleagues,&lt;/span&gt;&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial;&quot;&gt;Coronary artery disease (CAD) affects the global human population and is the major cause of death in both the developed and developing countries. Lifestyle, environment, and genetics, pose as risk factors for the development of cardiovascular disease.&amp;nbsp;&lt;br /&gt;The prevalence of risk factors among healthy individuals (diabetes mellitus, hypertension, smoking, hyperlipidemia, obesity, and psychosocial stress) predicts the occurrence of CAD in the near future.&lt;br /&gt;The diagnostic management of patients with angina pectoris typically aims at the detection of obstructive epicardial CAD. This clinical paradigm fails to account for the considerable proportion (approximately one-third) of patients with angina in whom obstructive CAD is excluded. This common scenario presents a diagnostic conundrum&lt;br /&gt;whereby angina occurs but there is no obstructive CAD (ischaemia and no obstructive coronary artery disease&mdash;INOCA).&lt;br /&gt;The proper management of CAD and modification of its morbid course has been established through extensive studies and trials. RAS blockers, statins and aspirin are used for the secondary prevention of the disease , and revascularization when indicated, nitrates, &beta;-blockers, calcium antagonists, ivabradine, trimetazidine and ranolazine are some of the therapeutic approaches used for the symptomatic relief of angina associated with CAD.&lt;br /&gt;In our scientific program we are going to discuss the most important risk factors related to CHD, with focus on hypertension and other consequences of CHD, and the recent published&lt;br /&gt;ESC guidelines for acute pulmonary embolism, dyslipidaemias, diabetes pre-diabetes and cardiovascular disease, and supraventricular arrhythmias.&lt;br /&gt;Experts from all around the world will discuss the hot topics of the just presented ESC guidelines on CHD, and we are going to have a critical approach of them in two panel discussions.&lt;br /&gt;At the end of our scientific meeting four case studies based on the topics discussed will be presented , as a trigger to initiate an interactive discussion with all participants.&lt;br /&gt;&lt;br /&gt;&lt;em&gt;Athanasios J. Manolis&lt;br /&gt;President of the Scientific Meeting&lt;/em&gt;&lt;br /&gt;&lt;/p&gt;","&lt;h1&gt;CHRONIC CORONARY SYNDROMES A CRITICAL APPROACH&lt;/h1&gt; &lt;span style=&quot;text-decoration-color: initial; color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px;&quot;&gt;Dear Colleagues,&lt;/span&gt;&lt;p style=&quot;text-decoration-color: initial; margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222;&quot;&gt;Coronary artery disease (CAD) affects the global human population and is the major cause of death in both the developed and developing countries. Lifestyle, environment, and genetics, pose as risk factors for the development of cardiovascular disease.&amp;nbsp;&lt;br /&gt;The prevalence of risk factors among healthy individuals (diabetes mellitus, hypertension, smoking, hyperlipidemia, obesity, and psychosocial stress) predicts the occurrence of CAD in the near future.&lt;br /&gt;The diagnostic management of patients with angina pectoris typically aims at the detection of obstructive epicardial CAD. This clinical paradigm fails to account for the considerable proportion (approximately one-third) of patients with angina in whom obstructive CAD is excluded. This common scenario presents a diagnostic conundrum&lt;br /&gt;whereby angina occurs but there is no obstructive CAD (ischaemia and no obstructive coronary artery disease&mdash;INOCA).&lt;br /&gt;The proper management of CAD and modification of its morbid course has been established through extensive studies and trials. RAS blockers, statins and aspirin are used for the secondary prevention of the disease , and revascularization when indicated, nitrates, &beta;-blockers, calcium antagonists, ivabradine, trimetazidine and ranolazine are some of the therapeutic approaches used for the symptomatic relief of angina associated with CAD.&lt;br /&gt;In our scientific program we are going to discuss the most important risk factors related to CHD, with focus on hypertension and other consequences of CHD, and the recent published&lt;br /&gt;ESC guidelines for acute pulmonary embolism, dyslipidaemias, diabetes pre-diabetes and cardiovascular disease, and supraventricular arrhythmias.&lt;br /&gt;Experts from all around the world will discuss the hot topics of the just presented ESC guidelines on CHD, and we are going to have a critical approach of them in two panel discussions.&lt;br /&gt;At the end of our scientific meeting four case studies based on the topics discussed will be presented , as a trigger to initiate an interactive discussion with all participants.&lt;br /&gt;&lt;br /&gt;&lt;em&gt;Athanasios J. Manolis&lt;br /&gt;President of the Scientific Meeting&lt;/em&gt;&lt;/p&gt;","/Portals/19/vgfm/events/691/the_program/cover/99184ba41dc9483eb087ca8851945c41_ATENE27-28Settembre2019-programma.pdf.jpg?ver=2019-10-16-150732-263","/Portals/19/vgfm/events/691/the_program/99184ba41dc9483eb087ca8851945c41_ATENE27-28Settembre2019-programma.pdf?ver=2019-10-16-150729-027",,"event",,,,"none",
"692","The Future of Medicines Starts Now 2019 (2nd edition)","The Future of Medicines Starts Now 2019 (2nd edition)","2019-09-26 00:00:00.0","2019-09-27 00:00:00.0",,,"27","1","2",,"/Portals/19/vgfm/events/692/generalinformations/74523dfd352040f19e6b80a06590e5a5_genova-26settembre2019-banner.jpg?ver=2019-10-21-105917-403","&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial;&quot;&gt;&lt;strong style=&quot;border: 0px; line-height: inherit;&quot;&gt;Co-organized by:&lt;/strong&gt;&lt;/p&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;UNIVERSITA&rsquo; DEGLI STUDI DI GENOVA&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;ISTITUTO GIANNINA GASLINI&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;FONDAZIONE INTERNAZIONALE MENARINI&lt;/span&gt;","&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial;&quot;&gt;&lt;strong style=&quot;border: 0px; line-height: inherit;&quot;&gt;Co-organized by:&lt;/strong&gt;&lt;/p&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;UNIVERSITA&rsquo; DEGLI STUDI DI GENOVA&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;ISTITUTO GIANNINA GASLINI&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;FONDAZIONE INTERNAZIONALE MENARINI&lt;/span&gt;","/Portals/19/vgfm/events/692/the_program/cover/a1fe554c93ef4bc3b2ce165053600f2f_GENOVA26-17Settembre2019-programma-ita.pdf.jpg?ver=2019-10-21-110029-547","/Portals/19/vgfm/events/692/the_program/a1fe554c93ef4bc3b2ce165053600f2f_GENOVA26-17Settembre2019-programma-ita.pdf?ver=2019-10-21-110028-157",,"event",,,,"none",
"697","State Of The Art And Future Trends In Pain Management","State Of The Art And Future Trends In Pain Management","2019-10-04 00:00:00.0","2019-10-05 00:00:00.0",,,"103","30","2","Convention Centre at “Hotel Iberostar Cancun” Boulevard Kukulcan km. 17","/Portals/19/vgfm/events/697/generalinformations/5c10251d60574076bfb745d30e4ab148_cancun4-5ottobre2019-banner.jpg?ver=2019-10-17-095005-420","&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial; text-align: center;&quot;&gt;&lt;strong style=&quot;border: 0px; line-height: inherit;&quot;&gt;CO- PRESIDENTS OF THE SYMPOSIUM:&lt;br /&gt;&lt;/strong&gt;&lt;/p&gt;&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial; text-align: center;&quot;&gt;Prof. Antonio MONTERO MATAMALA&lt;br /&gt;Department of Anaesthesiology Pain Treatment and Critical Care University&amp;nbsp;&lt;br /&gt;Hospital Arnau de Vilanova&amp;nbsp;&lt;br /&gt;Av Alcalde Rovira Roure, 80 Lleida, Spain&lt;/p&gt;&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial; text-align: center;&quot;&gt;&amp;amp;&lt;br /&gt;Prof. Ricardo PLANCARTE S&Aacute;NCHEZ&lt;br /&gt;Universidad Autonoma de Mexico&lt;br /&gt;Instituto Nacional de Cancerologia&lt;br /&gt;Mexico City, MX&lt;/p&gt;","&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial; text-align: center;&quot;&gt;&lt;strong style=&quot;border: 0px; line-height: inherit;&quot;&gt;CO- PRESIDENTS OF THE SYMPOSIUM:&lt;br /&gt;&lt;/strong&gt;&lt;/p&gt;&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial; text-align: center;&quot;&gt;Prof. Antonio MONTERO MATAMALA&lt;br /&gt;Department of Anaesthesiology Pain Treatment and Critical Care University&amp;nbsp;&lt;br /&gt;Hospital Arnau de Vilanova&amp;nbsp;&lt;br /&gt;Av Alcalde Rovira Roure, 80 Lleida, Spain&lt;/p&gt;&lt;p style=&quot;margin: 0px 0px 18px; border: 0px; font-size: 14px; line-height: 1.6em; font-family: merriweather_sansbook, sans-serif; color: #222222; text-decoration-color: initial; text-align: center;&quot;&gt;&amp;amp;&lt;br /&gt;Prof. Ricardo PLANCARTE S&Aacute;NCHEZ&lt;br /&gt;Universidad Autonoma de Mexico&lt;br /&gt;Instituto Nacional de Cancerologia&lt;br /&gt;Mexico City, MX&lt;/p&gt;","/Portals/19/vgfm/events/697/the_program/cover/dedc8ac0580d4e19ba993dee9ac59de0_CANCUN4-5Ottobre2019-pogramma.pdf.jpg?ver=2019-10-17-095127-197","/Portals/19/vgfm/events/697/the_program/dedc8ac0580d4e19ba993dee9ac59de0_CANCUN4-5Ottobre2019-pogramma.pdf?ver=2019-10-17-095118-370",,"event",,,,"none",
"698","International Symposium on: Hot Topics in Respiratory Medicine","International Symposium on: Hot Topics in Respiratory Medicine","2019-11-16 00:00:00.0","2019-11-17 00:00:00.0",,,"92","24","2","GRAND MAJESTIC PLAZA","/Portals/19/vgfm/events/698/generalinformations/661682ec0e2a4b2fb6b67cf46e541ced_praga-banner-prague.jpg?ver=2019-10-04-160907-923","&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;Chronic respiratory diseases are common and increasing in relative terms as causes of disability and death.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;The two main conditions contributing to death and disability are asthma and chronic obstructive pulmonary disease (COPD). Both are clinical diagnoses and are associated with narrowed airways and difficulty exhaling. Asthma has become more common in many countries in parallel with increasing prevalence of allergic sensitization. COPD, in particular, is an increasing burden as the world&rsquo;s population ages and tobacco smoking increases in many low- and middle-income countries, especially among women. Systemic inflammation induced by smoking can also cause chronic heart failure, metabolic syndrome and other chronic diseases, which can contribute to the clinical manifestations and natural history of COPD. Therefore, COPD can no longer be considered a lung disease alone, as it is often associated with a wide range of systemic consequences.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;A better understanding of the origin and consequences of systemic inflammation and potential therapies will most likely lead to better care of patients with COPD. Senescence is an irreversible process by which cells enter to a permanent cell cycle arrest with generalized molecular changes.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;Senescent cells remain metabolically active and most of them show a secretory phenotype; through its secretion may induce senescence or cancer in other cells. The secretory cells in the so-called transient senescence may participate in embryogenesis, tissue regeneration and immune response. The deleterious changes associated with age affect the immune system members and the immune senescence cause poor response to vaccines and susceptibility to cancer and infections.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;These latter are a frequent cause of asthma mostly in the elderly, the incidence is increasing in old people, and it may be related with those anatomical, physiological and immune changes caused by age, asthma chronicity and external agents.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;New kids are on the block: bronchiectasis, cystic fibrosis in the adult setting, new treatment for interstitial lung diseases and pulmonary hypertension. The goal of the congress is also to share the new pharmacological approaches to the complexity of respiratory diseases and their potential to modify the systemic effects of respiratory diseases. Digital health will be also addressed targeting the new digital medicine approach. All these important issues will be discussed in Prague, on November 15th - 16th, 2019&lt;/span&gt;&amp;nbsp;","&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;Chronic respiratory diseases are common and increasing in relative terms as causes of disability and death.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;The two main conditions contributing to death and disability are asthma and chronic obstructive pulmonary disease (COPD). Both are clinical diagnoses and are associated with narrowed airways and difficulty exhaling. Asthma has become more common in many countries in parallel with increasing prevalence of allergic sensitization. COPD, in particular, is an increasing burden as the world&rsquo;s population ages and tobacco smoking increases in many low- and middle-income countries, especially among women. Systemic inflammation induced by smoking can also cause chronic heart failure, metabolic syndrome and other chronic diseases, which can contribute to the clinical manifestations and natural history of COPD. Therefore, COPD can no longer be considered a lung disease alone, as it is often associated with a wide range of systemic consequences.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;A better understanding of the origin and consequences of systemic inflammation and potential therapies will most likely lead to better care of patients with COPD. Senescence is an irreversible process by which cells enter to a permanent cell cycle arrest with generalized molecular changes.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;Senescent cells remain metabolically active and most of them show a secretory phenotype; through its secretion may induce senescence or cancer in other cells. The secretory cells in the so-called transient senescence may participate in embryogenesis, tissue regeneration and immune response. The deleterious changes associated with age affect the immune system members and the immune senescence cause poor response to vaccines and susceptibility to cancer and infections.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;These latter are a frequent cause of asthma mostly in the elderly, the incidence is increasing in old people, and it may be related with those anatomical, physiological and immune changes caused by age, asthma chronicity and external agents.&lt;/span&gt;&lt;br style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot; /&gt;&lt;span style=&quot;color: #222222; font-family: merriweather_sansbook, sans-serif; font-size: 14px; text-decoration-color: initial;&quot;&gt;New kids are on the block: bronchiectasis, cystic fibrosis in the adult setting, new treatment for interstitial lung diseases and pulmonary hypertension. The goal of the congress is also to share the new pharmacological approaches to the complexity of respiratory diseases and their potential to modify the systemic effects of respiratory diseases. Digital health will be also addressed targeting the new digital medicine approach. All these important issues will be discussed in Prague, on November 15th - 16th, 2019&lt;/span&gt;&amp;nbsp;","/Portals/19/vgfm/events/698/the_program/cover/66693aac845e4cb289bb9bc693b716ee_PRAGA15-16Novembre2019-programma.pdf.jpg?ver=2019-10-16-165423-787","/Portals/19/vgfm/events/698/the_program/66693aac845e4cb289bb9bc693b716ee_PRAGA15-16Novembre2019-programma.pdf?ver=2019-10-16-165422-223","Truhlářská 16, 110 00 Petrská čtvrť","event",,,,"healthcare","inSiteAndStreaming"
